Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict,DegSort,Metis,Grappolo-RCM,ND
305,1582,212,1,135,229,1090,98,1292,,,
1202,1,145,177,1187,240,3741,209,1326,,,
1204,2718,45,2,11,757,3353,162,1,,,
1214,4019,1,1,15,763,2181,51,1151,,,
1264,4020,3,10,63,1042,1242,13,835,,,
1275,2,147,59,74,1178,2209,210,1338,,,
211,3363,108,2,23,1840,1091,103,2443,,,
845,3365,222,4,229,1904,1930,110,793,,,
849,3369,290,5,233,1908,365,394,2832,,,
3394,2,2,34,78,1931,648,158,488,,,
3404,1,166,1,88,1938,608,184,136,,,
893,3,168,11,91,1983,2413,46,1724,,,
900,1,133,9,97,2085,152,17,457,,,
3548,1,10,179,80,3406,388,70,1327,,,
3549,3,49,235,81,305,2568,157,169,,,
3550,2,13,236,82,847,1532,114,12,,,
986,7,189,247,310,1661,3717,112,8,,,
3938,5,3,52,229,1662,2419,1,1159,,,
3952,2,9,56,243,1663,2180,50,1158,,,
3954,2,162,1,245,1664,1172,202,1150,,,
3956,2,20,8,246,1665,1450,8,984,,,
3957,9,26,9,247,1666,278,48,166,,,
73,4,4,2,4,1667,839,28,1650,,,
80,1,71,17,9,1705,617,2,1273,,,
1375,3,88,69,169,1706,967,25,503,,,
348,2,30,64,59,1707,44,24,2889,,,
356,1,15,68,68,1708,534,49,317,,,
1407,1,15,403,81,31,1912,4,2283,,,
1409,2,28,473,85,71,1173,43,27,,,
1410,12,24,483,1825,321,2185,35,4,,,
1411,4007,23,1,88,1175,1494,42,1986,,,
1412,1,36,8,90,3505,2203,18,1985,,,
1417,1,4,8,1828,3582,619,2,1984,,,
64,2,102,15,37,3584,2443,186,1983,,,
1185,1,6,13,110,3611,2756,13,2325,,,
1186,3,11,7,111,3614,709,32,1,,,
1187,4004,108,2,112,3616,2185,100,1176,,,
1189,4005,111,14,114,3660,1262,144,339,,,
1190,2,115,61,115,3661,568,101,3196,,,
1201,6,74,59,125,3689,989,123,279,,,
110,1,38,2,31,933,1184,47,280,,,
404,2,45,1,154,1531,2931,63,1176,,,
1576,2284,73,1,15,2029,428,80,1691,,,
1577,2314,21,5,16,2032,2894,55,1175,,,
1578,2701,7,7,17,2033,240,53,2,,,
1579,4,21,23,18,2035,3062,49,1,,,
1580,2312,48,5,19,2036,3505,17,653,,,
1638,4,14,2,79,2038,2847,48,1692,,,
104,1,78,3,1157,2039,3454,68,2751,,,
438,1,149,5,73,2067,3375,32,341,,,
1739,2,55,4,1254,2068,1277,166,1687,,,
1740,2,152,20,6,13,1959,178,1154,,,
1744,1,201,1,1256,177,240,173,3862,,,
1778,1,3,21,21,265,3650,94,3863,,,
1779,3,159,45,22,398,273,198,618,,,
113,4,116,6,35,1198,1502,19,1983,,,
447,5,177,3,57,1199,2559,76,2444,,,
461,6,249,1,89,2840,1261,309,1151,,,
462,8,41,1,92,2930,2886,188,1102,,,
1877,6,33,2,56,2946,2948,20,1982,,,
1880,4,176,9,119,3015,1057,148,461,,,
1888,3,93,8,128,3016,1446,88,1,,,
1942,2,181,2,34,425,1498,149,2029,,,
541,3,12,1,6,992,1977,85,2778,,,
547,4,258,13,7,1309,80,57,1192,,,
2250,3,263,8,60,2345,1372,58,1358,,,
2259,2300,13,7,63,2346,2204,51,3862,,,
2261,2301,10,2,65,2355,1298,141,1293,,,
551,1,105,22,7,2356,977,214,1653,,,
2243,1,80,15,53,2357,188,99,1656,,,
2244,2,15,3,54,2358,984,5,1132,,,
2245,1,210,2,55,2565,1625,156,2253,,,
2246,4,6,3,56,2566,62,77,3084,,,
575,7,25,7,40,27,1921,20,1175,,,
576,2299,66,19,41,317,655,154,1,,,
577,4,212,3,42,749,3013,88,1151,,,
2332,2,215,36,159,750,1877,167,831,,,
2333,1,188,5,161,3356,2700,224,830,,,
2342,1,17,1,171,3362,2029,118,1152,,,
2346,3,220,9,174,3363,2642,166,3186,,,
722,2,46,12,63,3403,1266,63,1176,,,
2919,1,44,22,191,3435,1402,75,2090,,,
2925,2,10,14,197,3437,308,15,2092,,,
2927,3,8,4,199,3438,1092,1,2326,,,
2928,5,50,1,200,552,2103,25,1066,,,
2935,2627,43,2,204,903,1293,50,2593,,,
588,1,163,55,37,1045,1222,64,832,,,
2336,1,3,1,167,1046,3722,34,1444,,,
2339,2,90,2,170,3192,984,191,1,,,
2341,2,2,3,171,3193,3195,64,1260,,,
2396,4,127,41,214,3197,823,37,1,,,
212,8,28,1,34,3200,993,28,355,,,
927,9,73,4,268,3215,671,4,1982,,,
3748,2616,180,36,86,3976,269,211,39,,,
3751,3,47,1,89,3978,3880,78,1551,,,
3754,2117,68,7,92,488,608,165,4032,,,
3755,4,66,2,32,775,470,121,3533,,,
